,Product code,Bureau of Meteorology station number,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality,Date
3362,IDCJAC0010,86338,29.2,1.0,N,2022-03-17
3363,IDCJAC0010,86338,21.7,1.0,N,2022-03-18
3364,IDCJAC0010,86338,30.3,1.0,N,2022-03-19
3365,IDCJAC0010,86338,25.0,1.0,N,2022-03-20
3366,IDCJAC0010,86338,28.3,1.0,N,2022-03-21
3367,IDCJAC0010,86338,22.2,1.0,N,2022-03-22
3368,IDCJAC0010,86338,19.5,1.0,N,2022-03-23
3369,IDCJAC0010,86338,20.3,1.0,Y,2022-03-24
3370,IDCJAC0010,86338,20.4,1.0,N,2022-03-25
3371,IDCJAC0010,86338,22.3,1.0,N,2022-03-26
3372,IDCJAC0010,86338,29.1,1.0,N,2022-03-27
3373,IDCJAC0010,86338,24.4,1.0,N,2022-03-28
3374,IDCJAC0010,86338,20.0,1.0,N,2022-03-29
3375,IDCJAC0010,86338,20.4,1.0,N,2022-03-30
3376,IDCJAC0010,86338,21.7,1.0,N,2022-03-31
3377,IDCJAC0010,86338,19.1,1.0,Y,2022-04-01
3378,IDCJAC0010,86338,18.2,1.0,Y,2022-04-02
3379,IDCJAC0010,86338,17.8,1.0,Y,2022-04-03
3380,IDCJAC0010,86338,18.4,1.0,Y,2022-04-04
3381,IDCJAC0010,86338,19.9,1.0,Y,2022-04-05
3382,IDCJAC0010,86338,22.3,1.0,Y,2022-04-06
3383,IDCJAC0010,86338,22.8,1.0,Y,2022-04-07
3384,IDCJAC0010,86338,23.4,1.0,Y,2022-04-08
3385,IDCJAC0010,86338,25.1,1.0,Y,2022-04-09
3386,IDCJAC0010,86338,26.7,1.0,Y,2022-04-10
3387,IDCJAC0010,86338,18.8,1.0,Y,2022-04-11
3388,IDCJAC0010,86338,17.7,1.0,Y,2022-04-12
3389,IDCJAC0010,86338,20.0,1.0,Y,2022-04-13
3390,IDCJAC0010,86338,24.7,1.0,Y,2022-04-14
3391,IDCJAC0010,86338,26.2,1.0,Y,2022-04-15
3392,IDCJAC0010,86338,28.9,1.0,Y,2022-04-16
3393,IDCJAC0010,86338,28.0,1.0,Y,2022-04-17
3394,IDCJAC0010,86338,17.5,1.0,Y,2022-04-18
3395,IDCJAC0010,86338,15.8,1.0,Y,2022-04-19
3396,IDCJAC0010,86338,19.9,1.0,Y,2022-04-20
3397,IDCJAC0010,86338,17.1,1.0,Y,2022-04-21
3398,IDCJAC0010,86338,18.2,1.0,Y,2022-04-22
3399,IDCJAC0010,86338,17.8,1.0,Y,2022-04-23
3400,IDCJAC0010,86338,17.6,1.0,Y,2022-04-24
3401,IDCJAC0010,86338,24.2,1.0,Y,2022-04-25
3402,IDCJAC0010,86338,23.1,1.0,Y,2022-04-26
3403,IDCJAC0010,86338,22.0,1.0,Y,2022-04-27
3404,IDCJAC0010,86338,22.4,1.0,Y,2022-04-28
3405,IDCJAC0010,86338,20.8,1.0,Y,2022-04-29
3406,IDCJAC0010,86338,17.9,1.0,Y,2022-04-30
3407,IDCJAC0010,86338,19.3,1.0,Y,2022-05-01
3408,IDCJAC0010,86338,22.1,1.0,Y,2022-05-02
3409,IDCJAC0010,86338,20.7,1.0,Y,2022-05-03
3410,IDCJAC0010,86338,16.4,1.0,Y,2022-05-04
3411,IDCJAC0010,86338,14.1,1.0,Y,2022-05-05
3412,IDCJAC0010,86338,15.2,1.0,Y,2022-05-06
3413,IDCJAC0010,86338,15.3,1.0,Y,2022-05-07
3414,IDCJAC0010,86338,16.3,1.0,Y,2022-05-08
3415,IDCJAC0010,86338,16.6,1.0,Y,2022-05-09
3416,IDCJAC0010,86338,18.4,1.0,Y,2022-05-10
3417,IDCJAC0010,86338,17.5,1.0,Y,2022-05-11
3418,IDCJAC0010,86338,18.1,1.0,Y,2022-05-12
3419,IDCJAC0010,86338,17.9,1.0,Y,2022-05-13
3420,IDCJAC0010,86338,18.5,1.0,Y,2022-05-14
3421,IDCJAC0010,86338,21.8,1.0,Y,2022-05-15
3422,IDCJAC0010,86338,15.9,1.0,Y,2022-05-16
3423,IDCJAC0010,86338,15.6,1.0,Y,2022-05-17
3424,IDCJAC0010,86338,15.4,1.0,Y,2022-05-18
3425,IDCJAC0010,86338,14.7,1.0,Y,2022-05-19
3426,IDCJAC0010,86338,15.8,1.0,Y,2022-05-20
3427,IDCJAC0010,86338,14.9,1.0,Y,2022-05-21
3428,IDCJAC0010,86338,14.3,1.0,Y,2022-05-22
3429,IDCJAC0010,86338,17.1,1.0,Y,2022-05-23
3430,IDCJAC0010,86338,20.8,1.0,Y,2022-05-24
3431,IDCJAC0010,86338,19.6,1.0,Y,2022-05-25
3432,IDCJAC0010,86338,16.3,1.0,Y,2022-05-26
3433,IDCJAC0010,86338,16.6,1.0,Y,2022-05-27
3434,IDCJAC0010,86338,14.6,1.0,Y,2022-05-28
3435,IDCJAC0010,86338,16.5,1.0,Y,2022-05-29
3436,IDCJAC0010,86338,11.7,1.0,Y,2022-05-30
3437,IDCJAC0010,86338,11.4,1.0,Y,2022-05-31
