,Product code,Bureau of Meteorology station number,Daily global solar exposure (MJ/m*m),Date
11398,IDCJAC0016,86338,19.5,2021-03-17
11399,IDCJAC0016,86338,16.2,2021-03-18
11400,IDCJAC0016,86338,18.7,2021-03-19
11401,IDCJAC0016,86338,14.1,2021-03-20
11402,IDCJAC0016,86338,5.3,2021-03-21
11403,IDCJAC0016,86338,9.5,2021-03-22
11404,IDCJAC0016,86338,8.1,2021-03-23
11405,IDCJAC0016,86338,10.2,2021-03-24
11406,IDCJAC0016,86338,9.1,2021-03-25
11407,IDCJAC0016,86338,13.3,2021-03-26
11408,IDCJAC0016,86338,9.7,2021-03-27
11409,IDCJAC0016,86338,15.8,2021-03-28
11410,IDCJAC0016,86338,15.1,2021-03-29
11411,IDCJAC0016,86338,17.2,2021-03-30
11412,IDCJAC0016,86338,16.7,2021-03-31
11413,IDCJAC0016,86338,17.4,2021-04-01
11414,IDCJAC0016,86338,17.2,2021-04-02
11415,IDCJAC0016,86338,16.9,2021-04-03
11416,IDCJAC0016,86338,16.7,2021-04-04
11417,IDCJAC0016,86338,13.1,2021-04-05
11418,IDCJAC0016,86338,10.1,2021-04-06
11419,IDCJAC0016,86338,12.9,2021-04-07
11420,IDCJAC0016,86338,15.2,2021-04-08
11421,IDCJAC0016,86338,9.7,2021-04-09
11422,IDCJAC0016,86338,8.2,2021-04-10
11423,IDCJAC0016,86338,7.3,2021-04-11
11424,IDCJAC0016,86338,11.4,2021-04-12
11425,IDCJAC0016,86338,9.3,2021-04-13
11426,IDCJAC0016,86338,8.4,2021-04-14
11427,IDCJAC0016,86338,8.4,2021-04-15
11428,IDCJAC0016,86338,5.3,2021-04-16
11429,IDCJAC0016,86338,9.6,2021-04-17
11430,IDCJAC0016,86338,7.6,2021-04-18
11431,IDCJAC0016,86338,5.2,2021-04-19
11432,IDCJAC0016,86338,3.6,2021-04-20
11433,IDCJAC0016,86338,11.7,2021-04-21
11434,IDCJAC0016,86338,6.3,2021-04-22
11435,IDCJAC0016,86338,8.1,2021-04-23
11436,IDCJAC0016,86338,6.0,2021-04-24
11437,IDCJAC0016,86338,8.9,2021-04-25
11438,IDCJAC0016,86338,8.1,2021-04-26
11439,IDCJAC0016,86338,7.9,2021-04-27
11440,IDCJAC0016,86338,12.7,2021-04-28
11441,IDCJAC0016,86338,12.7,2021-04-29
11442,IDCJAC0016,86338,12.5,2021-04-30
11443,IDCJAC0016,86338,11.8,2021-05-01
11444,IDCJAC0016,86338,9.8,2021-05-02
11445,IDCJAC0016,86338,7.4,2021-05-03
11446,IDCJAC0016,86338,3.4,2021-05-04
11447,IDCJAC0016,86338,11.5,2021-05-05
11448,IDCJAC0016,86338,11.8,2021-05-06
11449,IDCJAC0016,86338,9.1,2021-05-07
11450,IDCJAC0016,86338,8.5,2021-05-08
11451,IDCJAC0016,86338,10.1,2021-05-09
11452,IDCJAC0016,86338,2.8,2021-05-10
11453,IDCJAC0016,86338,6.6,2021-05-11
11454,IDCJAC0016,86338,11.2,2021-05-12
11455,IDCJAC0016,86338,5.4,2021-05-13
11456,IDCJAC0016,86338,8.1,2021-05-14
11457,IDCJAC0016,86338,8.0,2021-05-15
11458,IDCJAC0016,86338,6.8,2021-05-16
11459,IDCJAC0016,86338,9.3,2021-05-17
11460,IDCJAC0016,86338,5.7,2021-05-18
11461,IDCJAC0016,86338,9.9,2021-05-19
11462,IDCJAC0016,86338,4.1,2021-05-20
11463,IDCJAC0016,86338,10.2,2021-05-21
11464,IDCJAC0016,86338,10.2,2021-05-22
11465,IDCJAC0016,86338,10.1,2021-05-23
11466,IDCJAC0016,86338,8.7,2021-05-24
11467,IDCJAC0016,86338,4.8,2021-05-25
11468,IDCJAC0016,86338,5.7,2021-05-26
11469,IDCJAC0016,86338,5.9,2021-05-27
11470,IDCJAC0016,86338,6.6,2021-05-28
11471,IDCJAC0016,86338,6.8,2021-05-29
11472,IDCJAC0016,86338,9.7,2021-05-30
11473,IDCJAC0016,86338,9.6,2021-05-31
11474,IDCJAC0016,86338,5.2,2021-06-01
11475,IDCJAC0016,86338,9.4,2021-06-02
11476,IDCJAC0016,86338,9.5,2021-06-03
11477,IDCJAC0016,86338,6.8,2021-06-04
11478,IDCJAC0016,86338,7.8,2021-06-05
11479,IDCJAC0016,86338,5.8,2021-06-06
11480,IDCJAC0016,86338,7.0,2021-06-07
11481,IDCJAC0016,86338,5.2,2021-06-08
11482,IDCJAC0016,86338,3.1,2021-06-09
11483,IDCJAC0016,86338,4.4,2021-06-10
11484,IDCJAC0016,86338,7.5,2021-06-11
11485,IDCJAC0016,86338,6.5,2021-06-12
11486,IDCJAC0016,86338,7.5,2021-06-13
11487,IDCJAC0016,86338,6.0,2021-06-14
11488,IDCJAC0016,86338,7.3,2021-06-15
11489,IDCJAC0016,86338,4.9,2021-06-16
11490,IDCJAC0016,86338,5.2,2021-06-17
11491,IDCJAC0016,86338,5.3,2021-06-18
11492,IDCJAC0016,86338,6.8,2021-06-19
11493,IDCJAC0016,86338,7.3,2021-06-20
11494,IDCJAC0016,86338,9.2,2021-06-21
11495,IDCJAC0016,86338,8.5,2021-06-22
11496,IDCJAC0016,86338,3.2,2021-06-23
11497,IDCJAC0016,86338,7.6,2021-06-24
11498,IDCJAC0016,86338,3.2,2021-06-25
11499,IDCJAC0016,86338,6.3,2021-06-26
11500,IDCJAC0016,86338,8.5,2021-06-27
11501,IDCJAC0016,86338,9.2,2021-06-28
11502,IDCJAC0016,86338,9.2,2021-06-29
11503,IDCJAC0016,86338,7.7,2021-06-30
11504,IDCJAC0016,86338,9.3,2021-07-01
11505,IDCJAC0016,86338,6.5,2021-07-02
11506,IDCJAC0016,86338,7.8,2021-07-03
11507,IDCJAC0016,86338,5.1,2021-07-04
11508,IDCJAC0016,86338,5.8,2021-07-05
11509,IDCJAC0016,86338,6.6,2021-07-06
11510,IDCJAC0016,86338,7.3,2021-07-07
11511,IDCJAC0016,86338,9.5,2021-07-08
11512,IDCJAC0016,86338,9.7,2021-07-09
11513,IDCJAC0016,86338,9.7,2021-07-10
11514,IDCJAC0016,86338,9.1,2021-07-11
11515,IDCJAC0016,86338,8.5,2021-07-12
11516,IDCJAC0016,86338,8.4,2021-07-13
11517,IDCJAC0016,86338,6.7,2021-07-14
11518,IDCJAC0016,86338,8.3,2021-07-15
11519,IDCJAC0016,86338,5.4,2021-07-16
11520,IDCJAC0016,86338,5.5,2021-07-17
11521,IDCJAC0016,86338,8.3,2021-07-18
11522,IDCJAC0016,86338,5.6,2021-07-19
11523,IDCJAC0016,86338,3.8,2021-07-20
11524,IDCJAC0016,86338,8.0,2021-07-21
11525,IDCJAC0016,86338,8.1,2021-07-22
11526,IDCJAC0016,86338,5.0,2021-07-23
11527,IDCJAC0016,86338,7.8,2021-07-24
11528,IDCJAC0016,86338,7.8,2021-07-25
11529,IDCJAC0016,86338,7.7,2021-07-26
11530,IDCJAC0016,86338,8.4,2021-07-27
11531,IDCJAC0016,86338,8.8,2021-07-28
11532,IDCJAC0016,86338,10.2,2021-07-29
11533,IDCJAC0016,86338,9.8,2021-07-30
11534,IDCJAC0016,86338,10.3,2021-07-31
11535,IDCJAC0016,86338,10.7,2021-08-01
11536,IDCJAC0016,86338,11.5,2021-08-02
11537,IDCJAC0016,86338,9.5,2021-08-03
11538,IDCJAC0016,86338,9.6,2021-08-04
11539,IDCJAC0016,86338,9.0,2021-08-05
11540,IDCJAC0016,86338,5.9,2021-08-06
11541,IDCJAC0016,86338,8.1,2021-08-07
11542,IDCJAC0016,86338,10.1,2021-08-08
11543,IDCJAC0016,86338,7.2,2021-08-09
11544,IDCJAC0016,86338,11.4,2021-08-10
11545,IDCJAC0016,86338,8.0,2021-08-11
11546,IDCJAC0016,86338,10.1,2021-08-12
11547,IDCJAC0016,86338,10.6,2021-08-13
11548,IDCJAC0016,86338,11.9,2021-08-14
11549,IDCJAC0016,86338,13.2,2021-08-15
11550,IDCJAC0016,86338,9.7,2021-08-16
11551,IDCJAC0016,86338,10.6,2021-08-17
11552,IDCJAC0016,86338,8.7,2021-08-18
11553,IDCJAC0016,86338,13.4,2021-08-19
11554,IDCJAC0016,86338,8.6,2021-08-20
11555,IDCJAC0016,86338,11.7,2021-08-21
11556,IDCJAC0016,86338,14.4,2021-08-22
11557,IDCJAC0016,86338,12.1,2021-08-23
11558,IDCJAC0016,86338,14.0,2021-08-24
11559,IDCJAC0016,86338,11.0,2021-08-25
11560,IDCJAC0016,86338,8.1,2021-08-26
11561,IDCJAC0016,86338,10.3,2021-08-27
11562,IDCJAC0016,86338,15.3,2021-08-28
11563,IDCJAC0016,86338,7.8,2021-08-29
11564,IDCJAC0016,86338,14.7,2021-08-30
11565,IDCJAC0016,86338,10.3,2021-08-31
11566,IDCJAC0016,86338,16.1,2021-09-01
11567,IDCJAC0016,86338,16.3,2021-09-02
11568,IDCJAC0016,86338,4.8,2021-09-03
11569,IDCJAC0016,86338,12.2,2021-09-04
11570,IDCJAC0016,86338,12.1,2021-09-05
11571,IDCJAC0016,86338,16.3,2021-09-06
11572,IDCJAC0016,86338,11.3,2021-09-07
11573,IDCJAC0016,86338,17.3,2021-09-08
11574,IDCJAC0016,86338,17.1,2021-09-09
11575,IDCJAC0016,86338,12.6,2021-09-10
11576,IDCJAC0016,86338,7.1,2021-09-11
11577,IDCJAC0016,86338,11.5,2021-09-12
11578,IDCJAC0016,86338,17.9,2021-09-13
11579,IDCJAC0016,86338,18.0,2021-09-14
11580,IDCJAC0016,86338,17.8,2021-09-15
11581,IDCJAC0016,86338,16.8,2021-09-16
11582,IDCJAC0016,86338,11.6,2021-09-17
11583,IDCJAC0016,86338,9.2,2021-09-18
11584,IDCJAC0016,86338,11.7,2021-09-19
11585,IDCJAC0016,86338,12.1,2021-09-20
11586,IDCJAC0016,86338,14.4,2021-09-21
11587,IDCJAC0016,86338,13.0,2021-09-22
11588,IDCJAC0016,86338,19.0,2021-09-23
11589,IDCJAC0016,86338,12.9,2021-09-24
11590,IDCJAC0016,86338,17.9,2021-09-25
11591,IDCJAC0016,86338,20.4,2021-09-26
11592,IDCJAC0016,86338,20.4,2021-09-27
11593,IDCJAC0016,86338,19.0,2021-09-28
11594,IDCJAC0016,86338,10.4,2021-09-29
11595,IDCJAC0016,86338,8.4,2021-09-30
11596,IDCJAC0016,86338,18.1,2021-10-01
11597,IDCJAC0016,86338,18.0,2021-10-02
11598,IDCJAC0016,86338,16.1,2021-10-03
11599,IDCJAC0016,86338,15.0,2021-10-04
11600,IDCJAC0016,86338,13.4,2021-10-05
11601,IDCJAC0016,86338,21.4,2021-10-06
11602,IDCJAC0016,86338,18.4,2021-10-07
11603,IDCJAC0016,86338,22.9,2021-10-08
11604,IDCJAC0016,86338,18.7,2021-10-09
11605,IDCJAC0016,86338,22.3,2021-10-10
11606,IDCJAC0016,86338,12.5,2021-10-11
11607,IDCJAC0016,86338,20.0,2021-10-12
11608,IDCJAC0016,86338,12.3,2021-10-13
11609,IDCJAC0016,86338,23.0,2021-10-14
11610,IDCJAC0016,86338,14.5,2021-10-15
11611,IDCJAC0016,86338,13.0,2021-10-16
11612,IDCJAC0016,86338,18.8,2021-10-17
11613,IDCJAC0016,86338,9.3,2021-10-18
11614,IDCJAC0016,86338,16.6,2021-10-19
11615,IDCJAC0016,86338,25.4,2021-10-20
11616,IDCJAC0016,86338,21.1,2021-10-21
11617,IDCJAC0016,86338,19.1,2021-10-22
11618,IDCJAC0016,86338,10.2,2021-10-23
11619,IDCJAC0016,86338,21.6,2021-10-24
11620,IDCJAC0016,86338,24.0,2021-10-25
11621,IDCJAC0016,86338,26.6,2021-10-26
11622,IDCJAC0016,86338,25.8,2021-10-27
11623,IDCJAC0016,86338,20.3,2021-10-28
11624,IDCJAC0016,86338,13.3,2021-10-29
11625,IDCJAC0016,86338,14.9,2021-10-30
11626,IDCJAC0016,86338,27.4,2021-10-31
11627,IDCJAC0016,86338,27.6,2021-11-01
11628,IDCJAC0016,86338,27.5,2021-11-02
11629,IDCJAC0016,86338,6.7,2021-11-03
11630,IDCJAC0016,86338,24.1,2021-11-04
11631,IDCJAC0016,86338,25.1,2021-11-05
11632,IDCJAC0016,86338,17.6,2021-11-06
11633,IDCJAC0016,86338,11.1,2021-11-07
11634,IDCJAC0016,86338,22.4,2021-11-08
11635,IDCJAC0016,86338,26.2,2021-11-09
11636,IDCJAC0016,86338,11.1,2021-11-10
11637,IDCJAC0016,86338,21.0,2021-11-11
11638,IDCJAC0016,86338,5.6,2021-11-12
11639,IDCJAC0016,86338,14.8,2021-11-13
11640,IDCJAC0016,86338,19.6,2021-11-14
11641,IDCJAC0016,86338,17.8,2021-11-15
11642,IDCJAC0016,86338,19.5,2021-11-16
11643,IDCJAC0016,86338,25.2,2021-11-17
11644,IDCJAC0016,86338,17.8,2021-11-18
11645,IDCJAC0016,86338,18.7,2021-11-19
11646,IDCJAC0016,86338,25.0,2021-11-20
11647,IDCJAC0016,86338,25.6,2021-11-21
11648,IDCJAC0016,86338,30.4,2021-11-22
11649,IDCJAC0016,86338,18.2,2021-11-23
11650,IDCJAC0016,86338,23.4,2021-11-24
11651,IDCJAC0016,86338,2.3,2021-11-25
11652,IDCJAC0016,86338,21.2,2021-11-26
11653,IDCJAC0016,86338,30.2,2021-11-27
11654,IDCJAC0016,86338,31.1,2021-11-28
11655,IDCJAC0016,86338,28.6,2021-11-29
11656,IDCJAC0016,86338,28.5,2021-11-30
11657,IDCJAC0016,86338,17.7,2021-12-01
11658,IDCJAC0016,86338,23.5,2021-12-02
11659,IDCJAC0016,86338,30.1,2021-12-03
11660,IDCJAC0016,86338,22.0,2021-12-04
11661,IDCJAC0016,86338,28.8,2021-12-05
11662,IDCJAC0016,86338,29.2,2021-12-06
11663,IDCJAC0016,86338,5.4,2021-12-07
11664,IDCJAC0016,86338,28.2,2021-12-08
11665,IDCJAC0016,86338,9.4,2021-12-09
11666,IDCJAC0016,86338,14.5,2021-12-10
11667,IDCJAC0016,86338,22.6,2021-12-11
11668,IDCJAC0016,86338,31.0,2021-12-12
11669,IDCJAC0016,86338,23.2,2021-12-13
11670,IDCJAC0016,86338,29.4,2021-12-14
11671,IDCJAC0016,86338,5.2,2021-12-15
11672,IDCJAC0016,86338,30.7,2021-12-16
11673,IDCJAC0016,86338,30.2,2021-12-17
11674,IDCJAC0016,86338,28.1,2021-12-18
11675,IDCJAC0016,86338,9.5,2021-12-19
11676,IDCJAC0016,86338,30.9,2021-12-20
11677,IDCJAC0016,86338,31.7,2021-12-21
11678,IDCJAC0016,86338,26.1,2021-12-22
11679,IDCJAC0016,86338,28.4,2021-12-23
11680,IDCJAC0016,86338,32.3,2021-12-24
11681,IDCJAC0016,86338,23.1,2021-12-25
11682,IDCJAC0016,86338,15.9,2021-12-26
11683,IDCJAC0016,86338,25.6,2021-12-27
11684,IDCJAC0016,86338,30.5,2021-12-28
11685,IDCJAC0016,86338,32.2,2021-12-29
11686,IDCJAC0016,86338,31.4,2021-12-30
11687,IDCJAC0016,86338,31.8,2021-12-31
