,Product code,Bureau of Meteorology station number,Daily global solar exposure (MJ/m*m),Date
11323,IDCJAC0016,86338,27.3,2021-01-01
11324,IDCJAC0016,86338,13.9,2021-01-02
11325,IDCJAC0016,86338,19.7,2021-01-03
11326,IDCJAC0016,86338,8.1,2021-01-04
11327,IDCJAC0016,86338,8.0,2021-01-05
11328,IDCJAC0016,86338,16.4,2021-01-06
11329,IDCJAC0016,86338,30.0,2021-01-07
11330,IDCJAC0016,86338,31.7,2021-01-08
11331,IDCJAC0016,86338,31.6,2021-01-09
11332,IDCJAC0016,86338,29.1,2021-01-10
11333,IDCJAC0016,86338,26.3,2021-01-11
11334,IDCJAC0016,86338,24.4,2021-01-12
11335,IDCJAC0016,86338,21.8,2021-01-13
11336,IDCJAC0016,86338,26.4,2021-01-14
11337,IDCJAC0016,86338,15.5,2021-01-15
11338,IDCJAC0016,86338,14.5,2021-01-16
11339,IDCJAC0016,86338,28.9,2021-01-17
11340,IDCJAC0016,86338,25.5,2021-01-18
11341,IDCJAC0016,86338,26.6,2021-01-19
11342,IDCJAC0016,86338,30.5,2021-01-20
11343,IDCJAC0016,86338,30.0,2021-01-21
11344,IDCJAC0016,86338,29.3,2021-01-22
11345,IDCJAC0016,86338,29.8,2021-01-23
11346,IDCJAC0016,86338,24.4,2021-01-24
11347,IDCJAC0016,86338,17.5,2021-01-25
11348,IDCJAC0016,86338,5.5,2021-01-26
11349,IDCJAC0016,86338,28.1,2021-01-27
11350,IDCJAC0016,86338,10.9,2021-01-28
11351,IDCJAC0016,86338,3.8,2021-01-29
11352,IDCJAC0016,86338,19.1,2021-01-30
11353,IDCJAC0016,86338,25.3,2021-01-31
11354,IDCJAC0016,86338,10.5,2021-02-01
11355,IDCJAC0016,86338,19.9,2021-02-02
11356,IDCJAC0016,86338,28.4,2021-02-03
11357,IDCJAC0016,86338,18.6,2021-02-04
11358,IDCJAC0016,86338,12.1,2021-02-05
11359,IDCJAC0016,86338,15.1,2021-02-06
11360,IDCJAC0016,86338,15.7,2021-02-07
11361,IDCJAC0016,86338,12.8,2021-02-08
11362,IDCJAC0016,86338,27.6,2021-02-09
11363,IDCJAC0016,86338,27.0,2021-02-10
11364,IDCJAC0016,86338,16.0,2021-02-11
11365,IDCJAC0016,86338,19.4,2021-02-12
11366,IDCJAC0016,86338,19.9,2021-02-13
11367,IDCJAC0016,86338,20.0,2021-02-14
11368,IDCJAC0016,86338,22.3,2021-02-15
11369,IDCJAC0016,86338,20.7,2021-02-16
11370,IDCJAC0016,86338,25.9,2021-02-17
11371,IDCJAC0016,86338,25.8,2021-02-18
11372,IDCJAC0016,86338,25.4,2021-02-19
11373,IDCJAC0016,86338,13.7,2021-02-20
11374,IDCJAC0016,86338,7.4,2021-02-21
11375,IDCJAC0016,86338,17.1,2021-02-22
11376,IDCJAC0016,86338,22.1,2021-02-23
11377,IDCJAC0016,86338,23.3,2021-02-24
11378,IDCJAC0016,86338,18.9,2021-02-25
11379,IDCJAC0016,86338,15.7,2021-02-26
11380,IDCJAC0016,86338,11.8,2021-02-27
11381,IDCJAC0016,86338,23.3,2021-02-28
11382,IDCJAC0016,86338,15.2,2021-03-01
11383,IDCJAC0016,86338,13.6,2021-03-02
11384,IDCJAC0016,86338,12.3,2021-03-03
11385,IDCJAC0016,86338,9.8,2021-03-04
11386,IDCJAC0016,86338,13.8,2021-03-05
11387,IDCJAC0016,86338,22.3,2021-03-06
11388,IDCJAC0016,86338,17.1,2021-03-07
11389,IDCJAC0016,86338,5.3,2021-03-08
11390,IDCJAC0016,86338,14.7,2021-03-09
11391,IDCJAC0016,86338,20.2,2021-03-10
11392,IDCJAC0016,86338,14.0,2021-03-11
11393,IDCJAC0016,86338,15.0,2021-03-12
11394,IDCJAC0016,86338,3.8,2021-03-13
11395,IDCJAC0016,86338,18.1,2021-03-14
11396,IDCJAC0016,86338,17.3,2021-03-15
11397,IDCJAC0016,86338,19.4,2021-03-16
