,Product code,Bureau of Meteorology station number,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date
2922,IDCJAC0009,86338,0.0,1.0,N,2021-01-01
2923,IDCJAC0009,86338,0.0,1.0,N,2021-01-02
2924,IDCJAC0009,86338,12.6,1.0,N,2021-01-03
2925,IDCJAC0009,86338,2.6,1.0,N,2021-01-04
2926,IDCJAC0009,86338,11.2,1.0,N,2021-01-05
2927,IDCJAC0009,86338,1.2,1.0,N,2021-01-06
2928,IDCJAC0009,86338,0.0,1.0,N,2021-01-07
2929,IDCJAC0009,86338,0.0,1.0,N,2021-01-08
2930,IDCJAC0009,86338,0.0,1.0,N,2021-01-09
2931,IDCJAC0009,86338,0.0,1.0,N,2021-01-10
2932,IDCJAC0009,86338,0.0,1.0,N,2021-01-11
2933,IDCJAC0009,86338,0.0,1.0,N,2021-01-12
2934,IDCJAC0009,86338,0.0,1.0,N,2021-01-13
2935,IDCJAC0009,86338,0.0,1.0,N,2021-01-14
2936,IDCJAC0009,86338,0.0,1.0,N,2021-01-15
2937,IDCJAC0009,86338,2.6,1.0,Y,2021-01-16
2938,IDCJAC0009,86338,0.0,1.0,N,2021-01-17
2939,IDCJAC0009,86338,0.0,1.0,N,2021-01-18
2940,IDCJAC0009,86338,0.0,1.0,N,2021-01-19
2941,IDCJAC0009,86338,0.0,1.0,N,2021-01-20
2942,IDCJAC0009,86338,0.0,1.0,N,2021-01-21
2943,IDCJAC0009,86338,0.0,1.0,N,2021-01-22
2944,IDCJAC0009,86338,0.0,1.0,N,2021-01-23
2945,IDCJAC0009,86338,0.0,1.0,N,2021-01-24
2946,IDCJAC0009,86338,0.0,1.0,N,2021-01-25
2947,IDCJAC0009,86338,10.6,1.0,N,2021-01-26
2948,IDCJAC0009,86338,0.4,1.0,N,2021-01-27
2949,IDCJAC0009,86338,0.0,1.0,N,2021-01-28
2950,IDCJAC0009,86338,3.6,1.0,N,2021-01-29
2951,IDCJAC0009,86338,43.2,1.0,N,2021-01-30
2952,IDCJAC0009,86338,0.0,1.0,N,2021-01-31
2953,IDCJAC0009,86338,0.0,1.0,N,2021-02-01
2954,IDCJAC0009,86338,0.0,1.0,N,2021-02-02
2955,IDCJAC0009,86338,0.0,1.0,N,2021-02-03
2956,IDCJAC0009,86338,0.0,1.0,N,2021-02-04
2957,IDCJAC0009,86338,0.4,1.0,N,2021-02-05
2958,IDCJAC0009,86338,1.6,1.0,N,2021-02-06
2959,IDCJAC0009,86338,1.8,1.0,N,2021-02-07
2960,IDCJAC0009,86338,0.4,1.0,Y,2021-02-08
2961,IDCJAC0009,86338,0.0,1.0,N,2021-02-09
2962,IDCJAC0009,86338,0.0,1.0,N,2021-02-10
2963,IDCJAC0009,86338,0.0,1.0,N,2021-02-11
2964,IDCJAC0009,86338,4.6,1.0,N,2021-02-12
